Name,Cation,Anion,Alkyl Chain,Functional Group,Heat Capacity (J/mol·K),Density (kg/m³),Toxicity (IC50 in mM),Solubility (g/L),Hydrophobicity (logP),Viscosity (Pa·s),Pareto Score,In ILThermo
(3-aminodecyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Decyl,Amino,1305.866211,1439.914081,5.810386349,1.665291195,11.5727,1.57699499,0.579932058,No
(3-aminodecyl)-tetrabutylphosphonium tetrafluoroborate,Tetrabutylphosphonium,Tetrafluoroborate,Decyl,Amino,850.9044664,1269.978743,10.61493466,2.247907987,11.8134,0.200131476,0.578129665,No
(3-aminooctyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Octyl,Amino,1282.576296,1492.369054,7.413428875,1.665291195,10.7925,1.401221884,0.571702421,No
carbonyl-tetraoctylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Octyl,Carbonyl,1229.156778,1446.770121,6.951642001,1.665291195,10.4456,0.988343182,0.570798733,No
carboxyl-tetradecylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Decyl,Carboxyl,1287.801248,1390.581153,11.4203275,1.665291195,11.1115,1.781215118,0.570213587,No
(2-hydroxydecyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Decyl,Hydroxyl,1285.161839,1445.317012,8.469387998,1.665291195,10.586,1.027132777,0.569734517,No
(3-aminooctyl)-tetrabutylphosphonium tetrafluoroborate,Tetrabutylphosphonium,Tetrafluoroborate,Octyl,Amino,827.6145514,1318.359374,12.89161902,2.247907987,11.0332,0.177824664,0.569066325,No
(2-hydroxydecyl)-tetrabutylphosphonium tetrafluoroborate,Tetrabutylphosphonium,Tetrafluoroborate,Decyl,Hydroxyl,830.2000942,1276.096978,14.62355093,2.247907987,10.8267,0.130350192,0.566104317,No
(3-aminononyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Nonyl,Amino,1294.217102,1465.124964,15.39789907,1.665291195,11.1826,1.486512661,0.564119463,No
tetranonylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Nonyl,,1180.84335,1456.774508,15.10177676,1.665291195,11.0206,0.701243659,0.563603231,No
carbonyl-tetranonylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Nonyl,Carbonyl,1240.797584,1422.511883,15.10177676,1.665291195,10.8357,1.048502503,0.562944675,No
(3-aminohexyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Hexyl,Amino,1259.286381,1553.917579,9.458738952,1.665291195,10.0123,1.245040588,0.562726966,No
carbonyl-tetrahexylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Hexyl,Carbonyl,1205.866863,1501.228139,9.003283958,1.665291195,9.6654,0.878181671,0.561934506,No
carboxyl-tetraoctylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Octyl,Carboxyl,1264.511333,1435.247587,13.86480354,1.665291195,10.3313,1.582679476,0.560995878,No
(2-hydroxyoctyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Octyl,Hydroxyl,1261.871924,1498.336603,10.52367717,1.665291195,9.8058,0.912647748,0.560891492,No
(3-aminohexyl)-tetrabutylphosphonium tetrafluoroborate,Tetrabutylphosphonium,Tetrafluoroborate,Hexyl,Amino,804.3246364,1377.396475,15.65660518,2.247907987,10.253,0.158004187,0.559169638,No
(3-aminodecyl)-tetrabutylphosphonium dicyanamide,Tetrabutylphosphonium,Dicyanamide,Decyl,Amino,984.2434644,1212.714286,20.87496327,1.665291195,10.83566,0.369825788,0.558855348,No
(3-aminononyl)-tetrabutylphosphonium tetrafluoroborate,Tetrabutylphosphonium,Tetrafluoroborate,Nonyl,Amino,839.2553574,1293.012674,23.09286809,2.247907987,11.4233,0.188648648,0.558497562,No
(3-aminodecyl)-tetrabutylphosphonium tosylate,Tetrabutylphosphonium,Tosylate,Decyl,Amino,1108.118619,1476.053831,20.87496327,1.665291195,11.41252,0.66576043,0.558189686,No
(3-aminoheptyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Heptyl,Amino,1270.927187,1521.853384,15.39789907,1.665291195,10.4024,1.320824787,0.557953936,No
tetraheptylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Heptyl,,1157.553435,1513.910528,15.10177676,1.665291195,10.2404,0.623082487,0.557427819,No
(3-aminooctyl)trimethylammonium bis(trifluoromethanesulfonyl)imide,Tributylmethylammonium,Bis(trifluoromethanesulfonyl)imide,Octyl,Amino,1180.930533,1366.806611,7.907757484,1.733253018,8.4214,0.95613749,0.557402816,No
decyl-phospholium bis(trifluoromethanesulfonyl)imide,Phospholium,Bis(trifluoromethanesulfonyl)imide,Decyl,,1057.559692,1260.197034,3.871025314,1,7.3228,0.408354803,0.557240936,No
carbonyl-tetraheptylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Heptyl,Carbonyl,1217.507669,1472.916271,15.10177676,1.665291195,10.0555,0.931635587,0.556885624,No
carbonyl-octyltrimethylammonium bis(trifluoromethanesulfonyl)imide,Tributylmethylammonium,Bis(trifluoromethanesulfonyl)imide,Octyl,Carbonyl,1127.511015,1324.616373,7.395920176,1.733253018,8.0745,0.674405659,0.556503225,No
(2-hydroxyoctyl)-tetrabutylphosphonium tetrafluoroborate,Tetrabutylphosphonium,Tetrafluoroborate,Octyl,Hydroxyl,806.9101792,1325.23864,17.39099458,2.247907987,10.0465,0.115821256,0.55637333,No
carboxyl-decyltrimethylammonium bis(trifluoromethanesulfonyl)imide,Tributylmethylammonium,Bis(trifluoromethanesulfonyl)imide,Decyl,Carboxyl,1186.155485,1277.315992,12.18231139,1.733253018,8.7404,1.215429598,0.555350904,No
(2-hydroxydecyl)trimethylammonium bis(trifluoromethanesulfonyl)imide,Tributylmethylammonium,Bis(trifluoromethanesulfonyl)imide,Decyl,Hydroxyl,1183.516076,1326.003143,9.008260495,1.733253018,8.2149,0.70087412,0.555264743,No
(3-aminodecyl)-tetrabutylphosphonium trifluoromethanesulfonate,Tetrabutylphosphonium,Trifluoromethanesulfonate,Decyl,Amino,1060.187867,1339.645846,20.87496327,1.665291195,10.5648,0.575857402,0.554872976,No
(3-aminobutyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Butyl,Amino,1235.988163,1627.122284,12.06833492,2.773194764,9.2321,1.106267381,0.552891586,No
(3-aminoheptyl)-tetrabutylphosphonium tetrafluoroborate,Tetrabutylphosphonium,Tetrafluoroborate,Heptyl,Amino,815.9654424,1346.322742,23.09286809,2.247907987,10.6431,0.167621721,0.552385646,No
1-(3-aminooctyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Octyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Octyl,Amino,1321.915036,1660.063362,3.868928364,1.915540829,7.55922,1.405467426,0.552027601,No
(3-aminopentyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Pentyl,Amino,1247.637272,1588.861726,15.39789907,1.665291195,9.6222,1.173604614,0.551612068,No
(3-aminodecyl)-tetrabutylphosphonium trifluoroacetate,Tetrabutylphosphonium,Trifluoroacetate,Decyl,Amino,968.3924104,1246.636748,20.87496327,1.665291195,9.812,0.340374042,0.551452058,No
carbonyl-1-octyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Octyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Octyl,Carbonyl,1268.495518,1595.749975,3.553098715,1.915540829,7.21232,0.991337749,0.55124924,No
(2-hydroxyhexyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Hexyl,Hydroxyl,1238.582009,1560.572875,13.07624367,1.665291195,9.0256,0.81092331,0.55122609,No
1-(2-hydroxydecyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Octyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Decyl,Hydroxyl,1324.500579,1590.059203,4.432016235,1.915540829,7.35272,1.030244872,0.551109273,No
